Earthx Earthy Earthz Sunx Suny Sunz 
0.903534 0.432086 0 0 0 0 
0.900825 0.437764 0 0 0 0 
0.89808 0.443425 0 0 0 0 
0.8953 0.449069 0 0 0 0 
0.892485 0.454695 0 0 0 0 
0.889635 0.460304 0 0 0 0 
0.886749 0.465895 0 0 0 0 
0.883829 0.471467 0 0 0 0 
0.880874 0.477022 0 0 0 0 
0.877884 0.482558 0 0 0 0 
0.874859 0.488075 0 0 0 0 
0.8718 0.493573 0 0 0 0 
0.868707 0.499053 0 0 0 0 
0.865579 0.504512 0 0 0 0 
0.862418 0.509952 0 0 0 0 
0.859222 0.515373 0 0 0 0 
0.855992 0.520773 0 0 0 0 
0.852729 0.526153 0 0 0 0 
0.849432 0.531513 0 0 0 0 
0.846102 0.536852 0 0 0 0 
0.842738 0.54217 0 0 0 0 
0.839342 0.547467 0 0 0 0 
0.835912 0.552743 0 0 0 0 
0.832449 0.557997 0 0 0 0 
0.828953 0.56323 0 0 0 0 
0.825425 0.568441 0 0 0 0 
0.821864 0.57363 0 0 0 0 
0.818271 0.578796 0 0 0 0 
0.814646 0.58394 0 0 0 0 
0.810988 0.589061 0 0 0 0 
0.807299 0.59416 0 0 0 0 
0.803578 0.599235 0 0 0 0 
0.799825 0.604287 0 0 0 0 
0.796041 0.609315 0 0 0 0 
0.792225 0.61432 0 0 0 0 
0.788378 0.619301 0 0 0 0 
0.7845 0.624258 0 0 0 0 
0.780591 0.62919 0 0 0 0 
0.776652 0.634098 0 0 0 0 
0.772682 0.638982 0 0 0 0 
0.768681 0.64384 0 0 0 0 
0.764651 0.648674 0 0 0 0 
0.76059 0.653482 0 0 0 0 
0.756499 0.658265 0 0 0 0 
0.752378 0.663023 0 0 0 0 
0.748228 0.667754 0 0 0 0 
0.744048 0.67246 0 0 0 0 
0.739839 0.67714 0 0 0 0 
0.735601 0.681793 0 0 0 0 
0.731334 0.68642 0 0 0 0 
0.727038 0.69102 0 0 0 0 
0.722714 0.695593 0 0 0 0 
0.718361 0.700139 0 0 0 0 
0.71398 0.704658 0 0 0 0 
0.709571 0.709149 0 0 0 0 
0.705134 0.713614 0 0 0 0 
0.700669 0.71805 0 0 0 0 
0.696176 0.722458 0 0 0 0 
0.691656 0.726838 0 0 0 0 
0.687109 0.731191 0 0 0 0 
0.682535 0.735514 0 0 0 0 
0.677934 0.739809 0 0 0 0 
0.673307 0.744076 0 0 0 0 
0.668652 0.748313 0 0 0 0 
0.663972 0.752521 0 0 0 0 
0.659265 0.7567 0 0 0 0 
0.654533 0.76085 0 0 0 0 
0.649775 0.76497 0 0 0 0 
0.644991 0.769061 0 0 0 0 
0.640182 0.773121 0 0 0 0 
0.635347 0.777152 0 0 0 0 
0.630488 0.781152 0 0 0 0 
0.625604 0.785123 0 0 0 0 
0.620695 0.789062 0 0 0 0 
0.615762 0.792971 0 0 0 0 
0.610805 0.796849 0 0 0 0 
0.605823 0.800696 0 0 0 0 
0.600818 0.804513 0 0 0 0 
0.595789 0.808297 0 0 0 0 
0.590737 0.812051 0 0 0 0 
0.585661 0.815773 0 0 0 0 
0.580563 0.819463 0 0 0 0 
0.575442 0.823122 0 0 0 0 
0.570298 0.826749 0 0 0 0 
0.565131 0.830343 0 0 0 0 
0.559942 0.833905 0 0 0 0 
0.554732 0.837435 0 0 0 0 
0.549499 0.840933 0 0 0 0 
0.544245 0.844398 0 0 0 0 
0.53897 0.84783 0 0 0 0 
0.533673 0.851229 0 0 0 0 
0.528355 0.854595 0 0 0 0 
0.523017 0.857929 0 0 0 0 
0.517658 0.861228 0 0 0 0 
0.512279 0.864495 0 0 0 0 
0.506879 0.867728 0 0 0 0 
0.50146 0.870927 0 0 0 0 
0.496021 0.874093 0 0 0 0 
0.490562 0.877224 0 0 0 0 
0.485084 0.880322 0 0 0 0 
0.479587 0.883386 0 0 0 0 
0.474071 0.886415 0 0 0 0 
0.468537 0.88941 0 0 0 0 
0.462984 0.89237 0 0 0 0 
0.457413 0.895296 0 0 0 0 
0.451823 0.898188 0 0 0 0 
