Earthx Earthy Earthz Sunx Suny Sunz 
0.941885 0.332811 0 0 0 0 
0.939753 0.338729 0 0 0 0 
0.937585 0.344633 0 0 0 0 
0.935379 0.350524 0 0 0 0 
0.933135 0.356401 0 0 0 0 
0.930855 0.362263 0 0 0 0 
0.928539 0.368111 0 0 0 0 
0.926185 0.373945 0 0 0 0 
0.923794 0.379764 0 0 0 0 
0.921367 0.385568 0 0 0 0 
0.918904 0.391356 0 0 0 0 
0.916404 0.397129 0 0 0 0 
0.913868 0.402886 0 0 0 0 
0.911295 0.408628 0 0 0 0 
0.908687 0.414353 0 0 0 0 
0.906042 0.420062 0 0 0 0 
0.903362 0.425754 0 0 0 0 
0.900646 0.431429 0 0 0 0 
0.897894 0.437087 0 0 0 0 
0.895106 0.442727 0 0 0 0 
0.892283 0.448351 0 0 0 0 
0.889424 0.453956 0 0 0 0 
0.886531 0.459543 0 0 0 0 
0.883602 0.465113 0 0 0 0 
0.880638 0.470663 0 0 0 0 
0.877639 0.476195 0 0 0 0 
0.874606 0.481709 0 0 0 0 
0.871537 0.487203 0 0 0 0 
0.868434 0.492678 0 0 0 0 
0.865297 0.498133 0 0 0 0 
0.862125 0.503568 0 0 0 0 
0.85892 0.508984 0 0 0 0 
0.85568 0.514379 0 0 0 0 
0.852406 0.519754 0 0 0 0 
0.849098 0.525108 0 0 0 0 
0.845757 0.530442 0 0 0 0 
0.842382 0.535754 0 0 0 0 
0.838974 0.541045 0 0 0 0 
0.835532 0.546315 0 0 0 0 
0.832057 0.551563 0 0 0 0 
0.828549 0.556789 0 0 0 0 
0.825009 0.561993 0 0 0 0 
0.821435 0.567175 0 0 0 0 
0.817829 0.572334 0 0 0 0 
0.814191 0.57747 0 0 0 0 
0.81052 0.582584 0 0 0 0 
0.806817 0.587674 0 0 0 0 
0.803082 0.592741 0 0 0 0 
0.799315 0.597785 0 0 0 0 
0.795517 0.602805 0 0 0 0 
0.791686 0.607801 0 0 0 0 
0.787825 0.612772 0 0 0 0 
0.783932 0.61772 0 0 0 0 
0.780008 0.622643 0 0 0 0 
0.776053 0.627541 0 0 0 0 
0.772067 0.632414 0 0 0 0 
0.76805 0.637262 0 0 0 0 
0.764003 0.642085 0 0 0 0 
0.759926 0.646882 0 0 0 0 
0.755818 0.651654 0 0 0 0 
0.751681 0.6564 0 0 0 0 
0.747513 0.66112 0 0 0 0 
0.743316 0.665813 0 0 0 0 
0.73909 0.67048 0 0 0 0 
0.734834 0.67512 0 0 0 0 
0.730548 0.679734 0 0 0 0 
0.726234 0.68432 0 0 0 0 
0.721891 0.68888 0 0 0 0 
0.717519 0.693411 0 0 0 0 
0.713119 0.697916 0 0 0 0 
0.70869 0.702392 0 0 0 0 
0.704234 0.706841 0 0 0 0 
0.699749 0.711262 0 0 0 0 
0.695236 0.715654 0 0 0 0 
0.690696 0.720018 0 0 0 0 
0.686128 0.724353 0 0 0 0 
0.681534 0.72866 0 0 0 0 
0.676911 0.732938 0 0 0 0 
0.672263 0.737186 0 0 0 0 
