Earthx Earthy Earthz Sunx Suny Sunz 
-0.873266 0.487281 0 0 0 0 
-0.876311 0.481785 0 0 0 0 
-0.879321 0.476269 0 0 0 0 
-0.882296 0.470735 0 0 0 0 
-0.885236 0.465183 0 0 0 0 
-0.888141 0.459612 0 0 0 0 
-0.891011 0.454022 0 0 0 0 
-0.893846 0.448415 0 0 0 0 
-0.896646 0.44279 0 0 0 0 
-0.89941 0.437148 0 0 0 0 
-0.902139 0.431488 0 0 0 0 
-0.904833 0.425812 0 0 0 0 
-0.90749 0.420118 0 0 0 0 
-0.910112 0.414408 0 0 0 0 
-0.912697 0.408682 0 0 0 0 
-0.915247 0.40294 0 0 0 0 
-0.917761 0.397181 0 0 0 0 
-0.920238 0.391407 0 0 0 0 
-0.922679 0.385618 0 0 0 0 
-0.925084 0.379813 0 0 0 0 
-0.927452 0.373993 0 0 0 0 
-0.929783 0.368159 0 0 0 0 
-0.932078 0.36231 0 0 0 0 
-0.934336 0.356446 0 0 0 0 
-0.936557 0.350569 0 0 0 0 
-0.938742 0.344678 0 0 0 0 
-0.940889 0.338773 0 0 0 0 
-0.942999 0.332855 0 0 0 0 
-0.945071 0.326923 0 0 0 0 
-0.947107 0.320979 0 0 0 0 
-0.949105 0.315022 0 0 0 0 
-0.951065 0.309053 0 0 0 0 
-0.952988 0.303071 0 0 0 0 
-0.954874 0.297077 0 0 0 0 
-0.956721 0.291072 0 0 0 0 
-0.958531 0.285055 0 0 0 0 
-0.960303 0.279027 0 0 0 0 
-0.962037 0.272988 0 0 0 0 
-0.963734 0.266939 0 0 0 0 
-0.965392 0.260878 0 0 0 0 
-0.967012 0.254808 0 0 0 0 
-0.968594 0.248727 0 0 0 0 
-0.970137 0.242636 0 0 0 0 
-0.971643 0.236536 0 0 0 0 
-0.97311 0.230427 0 0 0 0 
-0.974538 0.224308 0 0 0 0 
-0.975928 0.218181 0 0 0 0 
-0.97728 0.212045 0 0 0 0 
-0.978593 0.2059 0 0 0 0 
-0.979867 0.199748 0 0 0 0 
-0.981103 0.193588 0 0 0 0 
-0.9823 0.18742 0 0 0 0 
-0.983458 0.181244 0 0 0 0 
-0.984577 0.175062 0 0 0 0 
-0.985658 0.168872 0 0 0 0 
-0.986699 0.162676 0 0 0 0 
-0.987702 0.156473 0 0 0 0 
-0.988666 0.150265 0 0 0 0 
-0.98959 0.14405 0 0 0 0 
-0.990476 0.137829 0 0 0 0 
-0.991322 0.131604 0 0 0 0 
-0.99213 0.125373 0 0 0 0 
-0.992898 0.119137 0 0 0 0 
-0.993627 0.112896 0 0 0 0 
-0.994316 0.106651 0 0 0 0 
-0.994967 0.100402 0 0 0 0 
-0.995578 0.0941482 0 0 0 0 
-0.99615 0.0878912 0 0 0 0 
-0.996682 0.0816307 0 0 0 0 
-0.997176 0.075367 0 0 0 0 
-0.997629 0.0691004 0 0 0 0 
-0.998044 0.062831 0 0 0 0 
-0.998419 0.0565591 0 0 0 0 
-0.998755 0.0502849 0 0 0 0 
-0.999051 0.0440088 0 0 0 0 
-0.999308 0.037731 0 0 0 0 
-0.999525 0.0314517 0 0 0 0 
-0.999703 0.0251711 0 0 0 0 
-0.999841 0.0188895 0 0 0 0 
-0.99994 0.0126072 0 0 0 0 
-1 0.0063244 0 0 0 0 
-1.00002 4.13415e-05 0 0 0 0 
-1 -0.00624172 0 0 0 0 
-0.999941 -0.0125245 0 0 0 0 
-0.999843 -0.0188069 0 0 0 0 
-0.999705 -0.0250884 0 0 0 0 
-0.999528 -0.031369 0 0 0 0 
-0.999311 -0.0376484 0 0 0 0 
-0.999055 -0.0439262 0 0 0 0 
-0.998759 -0.0502024 0 0 0 0 
-0.998424 -0.0564765 0 0 0 0 
-0.998049 -0.0627484 0 0 0 0 
-0.997635 -0.0690179 0 0 0 0 
-0.997182 -0.0752846 0 0 0 0 
-0.996689 -0.0815483 0 0 0 0 
-0.996157 -0.0878089 0 0 0 0 
-0.995586 -0.0940659 0 0 0 0 
-0.994975 -0.100319 0 0 0 0 
-0.994325 -0.106569 0 0 0 0 
-0.993636 -0.112814 0 0 0 0 
-0.992908 -0.119055 0 0 0 0 
-0.99214 -0.125291 0 0 0 0 
-0.991333 -0.131522 0 0 0 0 
-0.990487 -0.137748 0 0 0 0 
-0.989602 -0.143968 0 0 0 0 
-0.988678 -0.150183 0 0 0 0 
-0.987715 -0.156392 0 0 0 0 
-0.986713 -0.162594 0 0 0 0 
-0.985672 -0.168791 0 0 0 0 
-0.984592 -0.17498 0 0 0 0 
-0.983473 -0.181163 0 0 0 0 
-0.982315 -0.187338 0 0 0 0 
-0.981119 -0.193506 0 0 0 0 
-0.979884 -0.199667 0 0 0 0 
-0.97861 -0.20582 0 0 0 0 
-0.977297 -0.211964 0 0 0 0 
-0.975946 -0.2181 0 0 0 0 
-0.974557 -0.224228 0 0 0 0 
-0.973129 -0.230346 0 0 0 0 
-0.971662 -0.236456 0 0 0 0 
-0.970157 -0.242556 0 0 0 0 
-0.968614 -0.248647 0 0 0 0 
-0.967033 -0.254728 0 0 0 0 
-0.965413 -0.260798 0 0 0 0 
-0.963756 -0.266859 0 0 0 0 
-0.96206 -0.272909 0 0 0 0 
-0.960326 -0.278948 0 0 0 0 
-0.958555 -0.284976 0 0 0 0 
-0.956745 -0.290993 0 0 0 0 
-0.954898 -0.296998 0 0 0 0 
-0.953013 -0.302992 0 0 0 0 
-0.951091 -0.308974 0 0 0 0 
-0.949131 -0.314943 0 0 0 0 
-0.947133 -0.320901 0 0 0 0 
-0.945098 -0.326845 0 0 0 0 
-0.943026 -0.332777 0 0 0 0 
-0.940917 -0.338695 0 0 0 0 
-0.93877 -0.3446 0 0 0 0 
-0.936586 -0.350491 0 0 0 0 
-0.934366 -0.356369 0 0 0 0 
-0.932108 -0.362233 0 0 0 0 
-0.929814 -0.368082 0 0 0 0 
-0.927483 -0.373916 0 0 0 0 
-0.925115 -0.379736 0 0 0 0 
-0.922711 -0.385541 0 0 0 0 
-0.920271 -0.391331 0 0 0 0 
-0.917794 -0.397105 0 0 0 0 
-0.915281 -0.402864 0 0 0 0 
-0.912731 -0.408607 0 0 0 0 
-0.910146 -0.414333 0 0 0 0 
-0.907525 -0.420043 0 0 0 0 
-0.904868 -0.425737 0 0 0 0 
-0.902175 -0.431414 0 0 0 0 
-0.899447 -0.437074 0 0 0 0 
-0.896683 -0.442716 0 0 0 0 
-0.893883 -0.448341 0 0 0 0 
-0.891049 -0.453949 0 0 0 0 
-0.888179 -0.459538 0 0 0 0 
-0.885274 -0.465109 0 0 0 0 
-0.882334 -0.470662 0 0 0 0 
-0.87936 -0.476197 0 0 0 0 
-0.876351 -0.481712 0 0 0 0 
-0.873307 -0.487209 0 0 0 0 
-0.870228 -0.492686 0 0 0 0 
-0.867116 -0.498144 0 0 0 0 
-0.863969 -0.503582 0 0 0 0 
-0.860788 -0.509 0 0 0 0 
-0.857573 -0.514399 0 0 0 0 
-0.854324 -0.519777 0 0 0 0 
-0.851041 -0.525134 0 0 0 0 
-0.847725 -0.530471 0 0 0 0 
-0.844375 -0.535786 0 0 0 0 
-0.840992 -0.541081 0 0 0 0 
-0.837576 -0.546354 0 0 0 0 
-0.834127 -0.551606 0 0 0 0 
-0.830644 -0.556836 0 0 0 0 
-0.827129 -0.562044 0 0 0 0 
-0.823582 -0.567229 0 0 0 0 
-0.820002 -0.572393 0 0 0 0 
-0.816389 -0.577533 0 0 0 0 
-0.812744 -0.582651 0 0 0 0 
-0.809067 -0.587746 0 0 0 0 
-0.805359 -0.592818 0 0 0 0 
-0.801618 -0.597866 0 0 0 0 
-0.797846 -0.602891 0 0 0 0 
-0.794042 -0.607892 0 0 0 0 
-0.790207 -0.612869 0 0 0 0 
-0.786341 -0.617822 0 0 0 0 
-0.782443 -0.62275 0 0 0 0 
-0.778515 -0.627654 0 0 0 0 
-0.774556 -0.632533 0 0 0 0 
-0.770567 -0.637387 0 0 0 0 
-0.766547 -0.642215 0 0 0 0 
-0.762497 -0.647019 0 0 0 0 
-0.758416 -0.651797 0 0 0 0 
