Earthx Earthy Earthz Sunx Suny Sunz 
-0.990996 -0.154225 0 0 0 0 
-0.986175 -0.185176 0 0 0 0 
-0.980391 -0.215946 0 0 0 0 
-0.97365 -0.246506 0 0 0 0 
-0.96596 -0.276825 0 0 0 0 
-0.957331 -0.306875 0 0 0 0 
-0.947772 -0.336627 0 0 0 0 
-0.937294 -0.366053 0 0 0 0 
-0.925908 -0.395123 0 0 0 0 
-0.913625 -0.423812 0 0 0 0 
-0.900461 -0.452091 0 0 0 0 
-0.886427 -0.479934 0 0 0 0 
-0.871539 -0.507315 0 0 0 0 
-0.855813 -0.534207 0 0 0 0 
-0.839264 -0.560586 0 0 0 0 
-0.821909 -0.586426 0 0 0 0 
-0.803766 -0.611705 0 0 0 0 
-0.784853 -0.636397 0 0 0 0 
-0.76519 -0.66048 0 0 0 0 
-0.744795 -0.683933 0 0 0 0 
-0.723689 -0.706732 0 0 0 0 
-0.701893 -0.728858 0 0 0 0 
-0.679429 -0.750289 0 0 0 0 
-0.656318 -0.771007 0 0 0 0 
-0.632583 -0.790991 0 0 0 0 
-0.608246 -0.810224 0 0 0 0 
-0.583333 -0.828687 0 0 0 0 
-0.557867 -0.846365 0 0 0 0 
-0.531872 -0.863241 0 0 0 0 
-0.505373 -0.8793 0 0 0 0 
-0.478396 -0.894527 0 0 0 0 
-0.450967 -0.908908 0 0 0 0 
-0.423112 -0.92243 0 0 0 0 
-0.394857 -0.935081 0 0 0 0 
-0.366229 -0.94685 0 0 0 0 
-0.337257 -0.957726 0 0 0 0 
-0.307966 -0.967698 0 0 0 0 
-0.278385 -0.976759 0 0 0 0 
-0.248541 -0.984899 0 0 0 0 
-0.218464 -0.992112 0 0 0 0 
-0.188181 -0.998391 0 0 0 0 
-0.157721 -1.00373 0 0 0 0 
-0.127112 -1.00813 0 0 0 0 
-0.096384 -1.01157 0 0 0 0 
-0.0655652 -1.01407 0 0 0 0 
-0.0346847 -1.01561 0 0 0 0 
-0.00377167 -1.01619 0 0 0 0 
0.027145 -1.01583 0 0 0 0 
0.0580361 -1.0145 0 0 0 0 
0.0888726 -1.01222 0 0 0 0 
0.119625 -1.00899 0 0 0 0 
0.150266 -1.00481 0 0 0 0 
0.180765 -0.999682 0 0 0 0 
0.211093 -0.993614 0 0 0 0 
0.241223 -0.986611 0 0 0 0 
0.271126 -0.978679 0 0 0 0 
0.300774 -0.969824 0 0 0 0 
0.330137 -0.960055 0 0 0 0 
0.35919 -0.94938 0 0 0 0 
0.387903 -0.937809 0 0 0 0 
0.41625 -0.925353 0 0 0 0 
0.444204 -0.912023 0 0 0 0 
0.471738 -0.89783 0 0 0 0 
